id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
5812,Venlafaxine_XR,rapid,147.91341346232534,810.8831379577277,0.058047,-0.034019,-0.01373,81.646,98.855,NA,6.251,18.608,34.535,9.0253
5813,Venlafaxine_XR,poor,40.41941358305902,549.3788725313567,0.086643,-0.030265,-0.013535,72.636,97.455,0.235,10.407,25.95,44.983,13.0652
5814,Venlafaxine_XR,normal,122.77729707123198,319.97876043222897,0.065104,-0.034455,-0.013693,82.692,98.592,NA,3.679,16.965,34.494,10.1821
5815,Venlafaxine_XR,normal,55.82894475082176,413.16612573619625,0.077668,-0.033593,-0.01368,80.623,98.499,NA,5.788,19.168,36.463,12.0464
5816,Venlafaxine_XR,normal,64.53104571946409,390.0183801007228,0.057223,-0.038037,-0.013861,91.288,99.801,NA,1.064,10.374,22.234,9.2048
5817,Venlafaxine_XR,normal,69.37303729513137,317.2161820981196,0.092185,-0.030496,-0.013315,73.189,95.869,NA,8.043,25.794,49.311,13.8718
5818,Venlafaxine_XR,normal,76.93026956610603,429.6468358293543,0.062825,-0.035888,-0.013795,86.132,99.322,NA,3.276,14.571,29.212,9.934
5819,Venlafaxine_XR,normal,71.49517964794099,356.79793867312986,0.048174,-0.039787,-0.013883,95.49,99.959,NA,NA,6.186,15.789,7.8672
5820,Venlafaxine_XR,poor,26.441005546164813,533.3382916173648,0.087195,-0.030145,-0.013493,72.348,97.152,0.123,10.372,26.235,45.933,13.1241
5821,Venlafaxine_XR,normal,116.21921141096884,687.655361520016,0.08927,-0.027562,-0.013065,66.148,94.071,1.503,13.16,32.367,57.606,13.022
5822,Venlafaxine_XR,normal,85.5166798844783,586.6661721417431,0.077941,-0.0309,-0.013486,74.161,97.098,NA,9.19,24.731,44.885,11.7904
5823,Venlafaxine_XR,normal,88.62929034143173,352.7236277132501,0.05996,-0.036558,-0.013808,87.739,99.419,NA,1.805,12.78,27.208,9.5425
5824,Venlafaxine_XR,normal,103.65486585216756,348.27534378630787,0.064207,-0.035059,-0.013734,84.143,98.888,NA,3.226,15.776,32.327,10.0928
5825,Venlafaxine_XR,rapid,75.8313119040415,946.0874642791512,0.045482,-0.035451,-0.013832,85.082,99.59,NA,5.594,16.474,29.637,7.1513
5826,Venlafaxine_XR,normal,97.80876910611654,607.7464654826501,0.047216,-0.038076,-0.013868,91.382,99.853,NA,1.934,10.965,22.21,7.5853
5827,Venlafaxine_XR,normal,104.08961981954825,840.9623938097694,0.046137,-0.036927,-0.013859,88.625,99.787,NA,3.973,13.746,25.63,7.336
5828,Venlafaxine_XR,normal,88.48196286693171,643.9497323918795,0.108835,-0.02442,-0.012523,58.607,90.162,3.523,17.621,40.884,71.455,15.2329
5829,Venlafaxine_XR,normal,109.05031026317164,517.7470818659579,0.039723,-0.03992,-0.013885,95.807,99.972,NA,NA,6.374,15.525,6.4879
5830,Venlafaxine_XR,rapid,93.29524316142924,710.0560389264068,0.036615,-0.039738,-0.013886,95.371,99.982,NA,0.294,7.773,16.803,5.9585
5831,Venlafaxine_XR,normal,94.44001470119171,304.22619944274834,0.057029,-0.03724,-0.013828,89.375,99.562,NA,0.651,11.12,24.912,9.1318
5832,Venlafaxine_XR,rapid,166.06645164639662,431.4451436275818,0.058048,-0.035115,-0.013744,84.277,98.96,NA,3.491,15.8,31.999,9.1258
5833,Venlafaxine_XR,normal,83.72291781083449,286.62111325795195,0.094442,-0.02952,-0.013172,70.847,94.835,NA,9.052,28.262,53.674,14.0556
5834,Venlafaxine_XR,rapid,129.70198574868664,420.4064386734096,0.062152,-0.034668,-0.01372,83.204,98.783,NA,3.989,16.722,33.485,9.7335
5835,Venlafaxine_XR,rapid,239.15839129880857,1533.432497410584,0.05451,-0.03288,-0.013704,78.911,98.67,0.198,8.351,20.99,37.049,8.3869
5836,Venlafaxine_XR,normal,80.0922615218338,920.8790954180542,0.135164,-0.018519,-0.011309,44.445,81.423,9.783,28.762,59.158,98.712,17.2039
5837,Venlafaxine_XR,rapid,228.8936452266129,407.2183417914382,0.046367,-0.037491,-0.01384,89.977,99.647,NA,0.814,10.867,24.033,7.4354
5838,Venlafaxine_XR,normal,120.0731581972478,200.0219317818315,0.063525,-0.035286,-0.01373,84.686,98.859,NA,2.104,14.939,31.879,10.0138
5839,Venlafaxine_XR,normal,100.73408597564018,242.198282879393,0.034525,-0.041252,-0.013889,99.006,99.998,NA,NA,NA,6.804,5.7364
5840,Venlafaxine_XR,normal,74.4710048749922,104.22828071485738,0.059039,-0.038462,-0.013851,92.308,99.727,NA,NA,7.066,20.228,9.5716
5841,Venlafaxine_XR,poor,20.18567825455317,563.3250035066798,0.102094,-0.026192,-0.012934,62.86,93.125,2.271,15.121,35.494,61.481,14.6932
5842,Venlafaxine_XR,normal,87.52138142441753,253.37397965681308,0.039687,-0.040911,-0.013888,98.187,99.994,NA,NA,1.582,9.467,6.5651
5843,Venlafaxine_XR,rapid,72.645165644796,311.59646554181035,0.060959,-0.037271,-0.013831,89.451,99.583,NA,0.845,11.179,24.795,9.7609
5844,Venlafaxine_XR,rapid,250.8864749317196,276.3264570266513,0.055067,-0.035425,-0.013752,85.019,99.015,NA,2.69,14.966,31.127,8.6846
5845,Venlafaxine_XR,normal,45.49799912120246,579.4442893363754,0.071351,-0.03304,-0.013734,79.295,98.888,NA,7.551,20.635,36.536,11.0206
5846,Venlafaxine_XR,normal,118.39849521932764,1562.0300582366335,0.128204,-0.016829,-0.011093,40.389,79.873,12.621,32.154,62.667,101.929,15.9568
5847,Venlafaxine_XR,rapid,239.74644433348945,401.1131302759275,0.033966,-0.040136,-0.013885,96.326,99.969,NA,NA,4.623,13.919,5.5707
